order_day,gl,product_family,units,ops
12/25/20,Pantry,Consumables,1021,5107
12/26/20,Pantry,Consumables,1027,5222
12/27/20,Pantry,Consumables,919,4650
12/28/20,Pantry,Consumables,856,4254
12/29/20,Pantry,Consumables,815,4148
12/30/20,Pantry,Consumables,711,3364
12/31/20,Pantry,Consumables,727,3722
1/1/21,Pantry,Consumables,935,4532
1/2/21,Pantry,Consumables,841,4432
1/3/21,Pantry,Consumables,835,4414
1/4/21,Pantry,Consumables,885,4225
1/5/21,Pantry,Consumables,876,4120
1/6/21,Pantry,Consumables,775,3872
1/7/21,Pantry,Consumables,796,3809
1/8/21,Pantry,Consumables,906,4578
1/9/21,Pantry,Consumables,1005,5010
1/10/21,Pantry,Consumables,896,4248
1/11/21,Pantry,Consumables,799,4069
1/12/21,Pantry,Consumables,744,3577
1/13/21,Pantry,Consumables,710,3411
1/14/21,Pantry,Consumables,756,3617
1/15/21,Pantry,Consumables,974,4818
1/16/21,Pantry,Consumables,968,4494
1/17/21,Pantry,Consumables,882,4564
1/18/21,Pantry,Consumables,814,4097
1/19/21,Pantry,Consumables,805,3703
1/20/21,Pantry,Consumables,774,3489
1/21/21,Pantry,Consumables,700,3565
1/22/21,Pantry,Consumables,766,3778
1/23/21,Pantry,Consumables,743,3730
1/24/21,Pantry,Consumables,751,3575
1/25/21,Pantry,Consumables,923,4552
1/26/21,Pantry,Consumables,852,4182
1/27/21,Pantry,Consumables,774,3852
1/28/21,Pantry,Consumables,892,4111
1/29/21,Pantry,Consumables,1008,5108
1/30/21,Pantry,Consumables,1262,6344
1/31/21,Pantry,Consumables,2063,10871
2/1/21,Pantry,Consumables,832,4012
2/2/21,Pantry,Consumables,795,3852
2/3/21,Pantry,Consumables,785,3730
2/4/21,Pantry,Consumables,727,3832
2/5/21,Pantry,Consumables,911,4659
2/6/21,Pantry,Consumables,916,4973
2/7/21,Pantry,Consumables,950,4492
2/8/21,Pantry,Consumables,858,4517
2/9/21,Pantry,Consumables,824,4184
2/10/21,Pantry,Consumables,775,3916
2/11/21,Pantry,Consumables,838,4051
2/12/21,Pantry,Consumables,1032,4963
2/13/21,Pantry,Consumables,982,4505
2/14/21,Pantry,Consumables,905,4543
2/15/21,Pantry,Consumables,872,4367
2/16/21,Pantry,Consumables,740,3701
2/17/21,Pantry,Consumables,795,3890
2/18/21,Pantry,Consumables,800,3900
2/19/21,Pantry,Consumables,984,4709
2/20/21,Pantry,Consumables,999,5149
2/21/21,Pantry,Consumables,1037,4909
2/22/21,Pantry,Consumables,934,4455
2/23/21,Pantry,Consumables,952,4180
2/24/21,Pantry,Consumables,920,3850
2/25/21,Pantry,Consumables,900,4310
2/26/21,Pantry,Consumables,1100,5131
2/27/21,Pantry,Consumables,1016,4824
2/28/21,Pantry,Consumables,960,4436
3/1/21,Pantry,Consumables,915,4205
3/2/21,Pantry,Consumables,829,3800
3/3/21,Pantry,Consumables,823,3882
3/4/21,Pantry,Consumables,848,3803
3/5/21,Pantry,Consumables,1058,4900
3/6/21,Pantry,Consumables,996,4833
3/7/21,Pantry,Consumables,1007,4666
3/8/21,Pantry,Consumables,919,4516
3/9/21,Pantry,Consumables,921,4340
3/10/21,Pantry,Consumables,804,4092
3/11/21,Pantry,Consumables,824,3882
3/12/21,Pantry,Consumables,1094,5269
3/13/21,Pantry,Consumables,940,4710
3/14/21,Pantry,Consumables,1077,4751
3/15/21,Pantry,Consumables,931,4462
3/16/21,Pantry,Consumables,944,4604
3/17/21,Pantry,Consumables,913,4112
3/18/21,Pantry,Consumables,901,4282
3/19/21,Pantry,Consumables,1166,5172
3/20/21,Pantry,Consumables,1132,5157
3/21/21,Pantry,Consumables,1077,5188
3/22/21,Pantry,Consumables,1035,4877
3/23/21,Pantry,Consumables,992,4337
3/24/21,Pantry,Consumables,984,4275
3/25/21,Pantry,Consumables,990,4441
3/26/21,Pantry,Consumables,981,4716
3/27/21,Pantry,Consumables,1243,6206
3/28/21,Pantry,Consumables,1125,5539
3/29/21,Pantry,Consumables,1081,4770
3/30/21,Pantry,Consumables,891,4037
3/31/21,Pantry,Consumables,795,3657
4/1/21,Pantry,Consumables,786,3992
4/2/21,Pantry,Consumables,1088,4929
4/3/21,Pantry,Consumables,1028,4838
4/4/21,Pantry,Consumables,872,4048
4/5/21,Pantry,Consumables,920,4245
4/6/21,Pantry,Consumables,865,4006
4/7/21,Pantry,Consumables,781,3932
4/8/21,Pantry,Consumables,855,3806
4/9/21,Pantry,Consumables,1073,5318
4/10/21,Pantry,Consumables,1036,4992
4/11/21,Pantry,Consumables,961,4541
4/12/21,Pantry,Consumables,898,4107
4/13/21,Pantry,Consumables,866,3799
4/14/21,Pantry,Consumables,774,3752
4/15/21,Pantry,Consumables,851,3871
4/16/21,Pantry,Consumables,1092,5297
4/17/21,Pantry,Consumables,1104,4997
4/18/21,Pantry,Consumables,994,4648
4/19/21,Pantry,Consumables,985,4266
4/20/21,Pantry,Consumables,853,4039
4/21/21,Pantry,Consumables,898,4011
4/22/21,Pantry,Consumables,884,4390
4/23/21,Pantry,Consumables,1143,5300
4/24/21,Pantry,Consumables,846,3963
4/25/21,Pantry,Consumables,1036,4847
4/26/21,Pantry,Consumables,924,4560
4/27/21,Pantry,Consumables,819,4084
4/28/21,Pantry,Consumables,763,3789
4/29/21,Pantry,Consumables,828,4046
4/30/21,Pantry,Consumables,1077,5009
5/1/21,Pantry,Consumables,1137,5343
5/2/21,Pantry,Consumables,960,4458
5/3/21,Pantry,Consumables,968,4807
5/4/21,Pantry,Consumables,925,4435
5/5/21,Pantry,Consumables,793,3762
5/6/21,Pantry,Consumables,862,4289
5/7/21,Pantry,Consumables,1105,5641
5/8/21,Pantry,Consumables,1026,4979
5/9/21,Pantry,Consumables,996,4792
5/10/21,Pantry,Consumables,954,4657
5/11/21,Pantry,Consumables,897,4165
5/12/21,Pantry,Consumables,845,3849
5/13/21,Pantry,Consumables,866,3941
5/14/21,Pantry,Consumables,1090,5428
5/15/21,Pantry,Consumables,1166,5310
5/16/21,Pantry,Consumables,1058,4716
5/17/21,Pantry,Consumables,951,4635
5/18/21,Pantry,Consumables,861,4004
5/19/21,Pantry,Consumables,802,3597
5/20/21,Pantry,Consumables,824,3949
5/21/21,Pantry,Consumables,1174,5296
5/22/21,Pantry,Consumables,1042,4627
5/23/21,Pantry,Consumables,853,4014
5/24/21,Pantry,Consumables,927,4781
5/25/21,Pantry,Consumables,920,4372
5/26/21,Pantry,Consumables,914,4036
5/27/21,Pantry,Consumables,950,3960
5/28/21,Pantry,Consumables,1162,5760
5/29/21,Pantry,Consumables,1041,5355
5/30/21,Pantry,Consumables,1034,5070
5/31/21,Pantry,Consumables,976,4477
6/1/21,Pantry,Consumables,893,4213
6/2/21,Pantry,Consumables,843,3841
6/3/21,Pantry,Consumables,836,3996
6/4/21,Pantry,Consumables,1137,5381
6/5/21,Pantry,Consumables,1082,4795
6/6/21,Pantry,Consumables,948,4501
6/7/21,Pantry,Consumables,1041,4819
6/8/21,Pantry,Consumables,871,3972
6/9/21,Pantry,Consumables,845,3780
6/10/21,Pantry,Consumables,842,4106
6/11/21,Pantry,Consumables,1080,4832
6/12/21,Pantry,Consumables,895,3987
6/13/21,Pantry,Consumables,702,3112
6/14/21,Pantry,Consumables,554,2685
6/15/21,Pantry,Consumables,481,2386
6/16/21,Pantry,Consumables,872,4091
6/17/21,Pantry,Consumables,823,3997
6/18/21,Pantry,Consumables,1094,5264
6/19/21,Pantry,Consumables,1472,6876
6/20/21,Pantry,Consumables,973,4351
6/21/21,Pantry,Consumables,984,4270
6/22/21,Pantry,Consumables,937,4487
6/23/21,Pantry,Consumables,927,3884
6/24/21,Pantry,Consumables,933,4342
6/25/21,Pantry,Consumables,1152,5523
6/26/21,Pantry,Consumables,1106,4905
6/27/21,Pantry,Consumables,999,4722
6/28/21,Pantry,Consumables,904,4322
6/29/21,Pantry,Consumables,904,3877
6/30/21,Pantry,Consumables,884,4133
7/1/21,Pantry,Consumables,1028,4389
7/2/21,Pantry,Consumables,1200,5571
7/3/21,Pantry,Consumables,1151,5095
7/4/21,Pantry,Consumables,1054,4803
7/5/21,Pantry,Consumables,1007,4776
7/6/21,Pantry,Consumables,911,4120
7/7/21,Pantry,Consumables,872,4108
7/8/21,Pantry,Consumables,926,4393
7/9/21,Pantry,Consumables,1113,4801
7/10/21,Pantry,Consumables,968,4242
7/11/21,Pantry,Consumables,830,4014
7/12/21,Pantry,Consumables,748,3412
7/13/21,Pantry,Consumables,618,2690
7/14/21,Pantry,Consumables,541,2329
7/15/21,Pantry,Consumables,442,2155
7/16/21,Pantry,Consumables,328,1565
7/17/21,Pantry,Consumables,428,2139
7/18/21,Pantry,Consumables,900,4530
7/19/21,Pantry,Consumables,959,4552
7/20/21,Pantry,Consumables,1053,4867
7/21/21,Pantry,Consumables,987,4679
7/22/21,Pantry,Consumables,985,4247
7/23/21,Pantry,Consumables,798,3869
7/24/20,Apparel,Softlines,2146,43199
7/25/20,Apparel,Softlines,2798,55193
7/26/20,Apparel,Softlines,2526,52404
7/27/20,Apparel,Softlines,2585,56405
7/28/20,Apparel,Softlines,2600,53385
7/29/20,Apparel,Softlines,2547,49701
7/30/20,Apparel,Softlines,2686,57661
7/31/20,Apparel,Softlines,3053,59577
8/1/20,Apparel,Softlines,2796,57789
8/2/20,Apparel,Softlines,2659,51855
8/3/20,Apparel,Softlines,2579,48523
8/4/20,Apparel,Softlines,2349,48898
8/5/20,Apparel,Softlines,2364,44905
8/6/20,Apparel,Softlines,2387,47895
8/7/20,Apparel,Softlines,2749,55427
8/8/20,Apparel,Softlines,2789,54894
8/9/20,Apparel,Softlines,2502,52088
8/10/20,Apparel,Softlines,2465,52159
8/11/20,Apparel,Softlines,2398,45606
8/12/20,Apparel,Softlines,2077,41784
8/13/20,Apparel,Softlines,2136,42583
8/14/20,Apparel,Softlines,2868,56485
8/15/20,Apparel,Softlines,2565,54486
8/16/20,Apparel,Softlines,2597,52321
8/17/20,Apparel,Softlines,2592,53550
8/18/20,Apparel,Softlines,2334,48548
8/19/20,Apparel,Softlines,2216,44708
8/20/20,Apparel,Softlines,2116,46932
8/21/20,Apparel,Softlines,2600,57478
8/22/20,Apparel,Softlines,2568,51468
8/23/20,Apparel,Softlines,2708,52997
8/24/20,Apparel,Softlines,2664,52016
8/25/20,Apparel,Softlines,2535,47508
8/26/20,Apparel,Softlines,2264,47339
8/27/20,Apparel,Softlines,2459,51262
8/28/20,Apparel,Softlines,2454,54667
8/29/20,Apparel,Softlines,2639,53007
8/30/20,Apparel,Softlines,2779,58121
8/31/20,Apparel,Softlines,2854,57726
9/1/20,Apparel,Softlines,2681,55050
9/2/20,Apparel,Softlines,2447,53468
9/3/20,Apparel,Softlines,2304,50207
9/4/20,Apparel,Softlines,2915,54984
9/5/20,Apparel,Softlines,2446,53984
9/6/20,Apparel,Softlines,2102,44467
9/7/20,Apparel,Softlines,2688,53030
9/8/20,Apparel,Softlines,2253,48661
9/9/20,Apparel,Softlines,2101,46101
9/10/20,Apparel,Softlines,2106,46556
9/11/20,Apparel,Softlines,2557,53129
9/12/20,Apparel,Softlines,2846,58496
9/13/20,Apparel,Softlines,2548,51703
9/14/20,Apparel,Softlines,3155,61365
9/15/20,Apparel,Softlines,2726,58021
9/16/20,Apparel,Softlines,2612,48307
9/17/20,Apparel,Softlines,2390,49002
9/18/20,Apparel,Softlines,3097,61357
9/19/20,Apparel,Softlines,3029,58713
9/20/20,Apparel,Softlines,3008,58740
9/21/20,Apparel,Softlines,3071,56375
9/22/20,Apparel,Softlines,2746,52222
9/23/20,Apparel,Softlines,2514,48408
9/24/20,Apparel,Softlines,2601,53668
9/25/20,Apparel,Softlines,3204,60634
9/26/20,Apparel,Softlines,3130,62321
9/27/20,Apparel,Softlines,2975,58902
9/28/20,Apparel,Softlines,2777,55781
9/29/20,Apparel,Softlines,2580,54750
9/30/20,Apparel,Softlines,2476,52411
10/1/20,Apparel,Softlines,2599,50563
10/2/20,Apparel,Softlines,3031,60819
10/3/20,Apparel,Softlines,3007,59587
10/4/20,Apparel,Softlines,3008,55604
10/5/20,Apparel,Softlines,2897,56466
10/6/20,Apparel,Softlines,2531,54410
10/7/20,Apparel,Softlines,2315,46251
10/8/20,Apparel,Softlines,2430,49029
10/9/20,Apparel,Softlines,2907,56841
10/10/20,Apparel,Softlines,3017,57196
10/11/20,Apparel,Softlines,2979,56648
10/12/20,Apparel,Softlines,2975,58254
10/13/20,Apparel,Softlines,2679,49966
10/14/20,Apparel,Softlines,2270,47353
10/15/20,Apparel,Softlines,2409,46013
10/16/20,Apparel,Softlines,2931,62627
10/17/20,Apparel,Softlines,3025,56561
10/18/20,Apparel,Softlines,2984,56408
10/19/20,Apparel,Softlines,3007,55176
10/20/20,Apparel,Softlines,2708,51829
10/21/20,Apparel,Softlines,2656,50365
10/22/20,Apparel,Softlines,2498,50833
10/23/20,Apparel,Softlines,3041,60266
10/24/20,Apparel,Softlines,3023,56904
10/25/20,Apparel,Softlines,3056,60277
10/26/20,Apparel,Softlines,2810,56671
10/27/20,Apparel,Softlines,2747,53042
10/28/20,Apparel,Softlines,2585,49866
10/29/20,Apparel,Softlines,2537,47933
10/30/20,Apparel,Softlines,2838,57499
10/31/20,Apparel,Softlines,3193,60752
11/1/20,Apparel,Softlines,2872,61837
11/2/20,Apparel,Softlines,2794,57806
11/3/20,Apparel,Softlines,2501,51479
11/4/20,Apparel,Softlines,2365,48049
11/5/20,Apparel,Softlines,2261,46373
11/6/20,Apparel,Softlines,2381,48887
11/7/20,Apparel,Softlines,3143,62900
11/8/20,Apparel,Softlines,2993,61139
11/9/20,Apparel,Softlines,2970,60360
11/10/20,Apparel,Softlines,2906,56740
11/11/20,Apparel,Softlines,2510,48387
11/12/20,Apparel,Softlines,2386,47837
11/13/20,Apparel,Softlines,2961,61923
11/14/20,Apparel,Softlines,2954,61220
11/15/20,Apparel,Softlines,3264,61150
11/16/20,Apparel,Softlines,3048,59723
11/17/20,Apparel,Softlines,2798,56350
11/18/20,Apparel,Softlines,2560,51045
11/19/20,Apparel,Softlines,2595,52959
11/20/20,Apparel,Softlines,3283,63244
11/21/20,Apparel,Softlines,3216,65246
11/22/20,Apparel,Softlines,3329,63205
11/23/20,Apparel,Softlines,3172,63055
11/24/20,Apparel,Softlines,2764,57758
11/25/20,Apparel,Softlines,2670,49796
11/26/20,Apparel,Softlines,2439,50124
11/27/20,Apparel,Softlines,3022,63547
11/28/20,Apparel,Softlines,3217,63205
11/29/20,Apparel,Softlines,3059,61118
11/30/20,Apparel,Softlines,3013,64151
12/1/20,Apparel,Softlines,2905,58975
12/2/20,Apparel,Softlines,2587,48497
12/3/20,Apparel,Softlines,2349,48645
12/4/20,Apparel,Softlines,2849,52606
12/5/20,Apparel,Softlines,3291,60465
12/6/20,Apparel,Softlines,3320,64406
12/7/20,Apparel,Softlines,3103,64577
12/8/20,Apparel,Softlines,2863,57013
12/9/20,Apparel,Softlines,2800,54539
12/10/20,Apparel,Softlines,2549,50487
12/11/20,Apparel,Softlines,3294,65309
12/12/20,Apparel,Softlines,3309,62132
12/13/20,Apparel,Softlines,3054,64508
12/14/20,Apparel,Softlines,2979,60791
12/15/20,Apparel,Softlines,2777,55373
12/16/20,Apparel,Softlines,2537,49451
12/17/20,Apparel,Softlines,2269,43250
12/18/20,Apparel,Softlines,2430,50023
12/19/20,Apparel,Softlines,3046,62318
12/20/20,Apparel,Softlines,3058,60553
12/21/20,Apparel,Softlines,3016,60705
12/22/20,Apparel,Softlines,2894,57799
12/23/20,Apparel,Softlines,2757,54351
12/24/20,Apparel,Softlines,2831,51384
12/25/20,Apparel,Softlines,3185,68110
12/26/20,Apparel,Softlines,3336,66336
12/27/20,Apparel,Softlines,3411,68796
12/28/20,Apparel,Softlines,3224,58580
12/29/20,Apparel,Softlines,2880,54876
12/30/20,Apparel,Softlines,2521,53225
12/31/20,Apparel,Softlines,2666,53940
1/1/21,Apparel,Softlines,3345,63509
1/2/21,Apparel,Softlines,3643,67182
1/3/21,Apparel,Softlines,3425,68613
1/4/21,Apparel,Softlines,3583,69748
1/5/21,Apparel,Softlines,3117,65562
1/6/21,Apparel,Softlines,2838,57676
1/7/21,Apparel,Softlines,2673,53626
1/8/21,Apparel,Softlines,2919,58889
1/9/21,Apparel,Softlines,3431,69043
1/10/21,Apparel,Softlines,3258,61583
1/11/21,Apparel,Softlines,3037,61154
1/12/21,Apparel,Softlines,2842,55100
1/13/21,Apparel,Softlines,2796,51613
1/14/21,Apparel,Softlines,2506,48359
1/15/21,Apparel,Softlines,2982,60019
1/16/21,Apparel,Softlines,3406,65236
1/17/21,Apparel,Softlines,3093,59976
1/18/21,Apparel,Softlines,2926,57651
1/19/21,Apparel,Softlines,2741,56156
1/20/21,Apparel,Softlines,2628,51406
1/21/21,Apparel,Softlines,2366,46757
1/22/21,Apparel,Softlines,2622,53059
1/23/21,Apparel,Softlines,2576,50302
1/24/21,Apparel,Softlines,2467,48551
1/25/21,Apparel,Softlines,3047,54607
1/26/21,Apparel,Softlines,2849,57793
1/27/21,Apparel,Softlines,2965,53209
1/28/21,Apparel,Softlines,2583,52196
1/29/21,Apparel,Softlines,3346,58660
1/30/21,Apparel,Softlines,4828,97272
1/31/21,Apparel,Softlines,9184,207444
2/1/21,Apparel,Softlines,2852,57720
2/2/21,Apparel,Softlines,2758,55933
2/3/21,Apparel,Softlines,2738,51930
2/4/21,Apparel,Softlines,2550,48029
2/5/21,Apparel,Softlines,3133,60779
2/6/21,Apparel,Softlines,3137,62963
2/7/21,Apparel,Softlines,3123,59923
2/8/21,Apparel,Softlines,3129,59190
2/9/21,Apparel,Softlines,2881,56332
2/10/21,Apparel,Softlines,2747,49696
2/11/21,Apparel,Softlines,2446,49629
2/12/21,Apparel,Softlines,2903,59446
2/13/21,Apparel,Softlines,3032,59345
2/14/21,Apparel,Softlines,3194,60246
2/15/21,Apparel,Softlines,3119,57593
2/16/21,Apparel,Softlines,2780,54393
2/17/21,Apparel,Softlines,2804,52446
2/18/21,Apparel,Softlines,2475,47767
2/19/21,Apparel,Softlines,3150,58305
2/20/21,Apparel,Softlines,3337,61846
2/21/21,Apparel,Softlines,3377,65457
2/22/21,Apparel,Softlines,3031,63240
2/23/21,Apparel,Softlines,2964,56843
2/24/21,Apparel,Softlines,2675,56369
2/25/21,Apparel,Softlines,2780,54615
2/26/21,Apparel,Softlines,3245,61421
2/27/21,Apparel,Softlines,3393,61948
2/28/21,Apparel,Softlines,3328,63611
3/1/21,Apparel,Softlines,3134,56482
3/2/21,Apparel,Softlines,3142,56202
3/3/21,Apparel,Softlines,2907,58887
3/4/21,Apparel,Softlines,2741,54346
3/5/21,Apparel,Softlines,3075,65095
3/6/21,Apparel,Softlines,3699,70553
3/7/21,Apparel,Softlines,3470,61413
3/8/21,Apparel,Softlines,3089,61279
3/9/21,Apparel,Softlines,2846,55220
3/10/21,Apparel,Softlines,2821,52650
3/11/21,Apparel,Softlines,2556,51850
3/12/21,Apparel,Softlines,2998,60238
3/13/21,Apparel,Softlines,3152,60256
3/14/21,Apparel,Softlines,3088,64197
3/15/21,Apparel,Softlines,2980,63569
3/16/21,Apparel,Softlines,2893,57159
3/17/21,Apparel,Softlines,2552,52719
3/18/21,Apparel,Softlines,2515,52803
3/19/21,Apparel,Softlines,3029,58232
3/20/21,Apparel,Softlines,3319,64317
3/21/21,Apparel,Softlines,3098,63252
3/22/21,Apparel,Softlines,3058,61239
3/23/21,Apparel,Softlines,3094,59188
3/24/21,Apparel,Softlines,2851,57875
3/25/21,Apparel,Softlines,2811,52673
3/26/21,Apparel,Softlines,2841,52747
3/27/21,Apparel,Softlines,3191,62548
3/28/21,Apparel,Softlines,3105,59707
3/29/21,Apparel,Softlines,2941,57809
3/30/21,Apparel,Softlines,2759,54082
3/31/21,Apparel,Softlines,2438,48783
4/1/21,Apparel,Softlines,2652,52149
4/2/21,Apparel,Softlines,3199,60263
4/3/21,Apparel,Softlines,3196,61188
4/4/21,Apparel,Softlines,3106,64532
4/5/21,Apparel,Softlines,3212,59551
4/6/21,Apparel,Softlines,2839,57771
4/7/21,Apparel,Softlines,2750,52362
4/8/21,Apparel,Softlines,2682,54178
4/9/21,Apparel,Softlines,3400,65998
4/10/21,Apparel,Softlines,3231,64936
4/11/21,Apparel,Softlines,3311,66078
4/12/21,Apparel,Softlines,3031,67178
4/13/21,Apparel,Softlines,3102,61170
4/14/21,Apparel,Softlines,2964,56833
4/15/21,Apparel,Softlines,2936,58611
4/16/21,Apparel,Softlines,3362,70065
4/17/21,Apparel,Softlines,3259,68845
4/18/21,Apparel,Softlines,3351,65546
4/19/21,Apparel,Softlines,3415,67163
4/20/21,Apparel,Softlines,3075,59611
4/21/21,Apparel,Softlines,3131,65350
4/22/21,Apparel,Softlines,3045,63037
4/23/21,Apparel,Softlines,4125,77795
4/24/21,Apparel,Softlines,3638,74544
4/25/21,Apparel,Softlines,3786,73368
4/26/21,Apparel,Softlines,3734,72046
4/27/21,Apparel,Softlines,3599,72604
4/28/21,Apparel,Softlines,3255,67216
4/29/21,Apparel,Softlines,3169,67510
4/30/21,Apparel,Softlines,3886,85835
5/1/21,Apparel,Softlines,4081,84762
5/2/21,Apparel,Softlines,4101,80961
5/3/21,Apparel,Softlines,3943,82289
5/4/21,Apparel,Softlines,3768,77201
5/5/21,Apparel,Softlines,3861,75897
5/6/21,Apparel,Softlines,3874,79057
5/7/21,Apparel,Softlines,4481,90094
5/8/21,Apparel,Softlines,4912,102779
