Row Labels,Sum of QUANTITY (FAILS)
HEXO,7202352
TMGI,7199623
ARKO,7195543
ACB,7174439
ATHX,7099823
AJAX,7096778
MYCOF,7047728
CIG,6966554
MDGS,6939323
TKGBY,6912959
RIDE,6886223
FTFT,6822832
AFOM,6796364
ALRN,6794651
SRLZF,6762543
VER,6718773
YQ,6657455
VITX,6650561
ADV,6603797
BIOL,6570771
MAC,6528640
FHBC,6465626
BTSC,6446687
BLAGF,6441879
ICLN,6399129
NGA,6353587
XOP,6324519
M,6291553
MEDIF,6288119
GTE,6234214
CBNT,6169100
CIDM,6165128
WDFCF,6116118
GSPE,6107836
FLWPF,6093880
MARA,6082933
KNDI,6011974
IPOEWS,5992195
BREZR,5969567
KRE,5930265
VSPR,5928059
AFMJF,5909142
NAKD,5887675
EEVVF,5843026
MOGO,5833492
TAUG,5822756
RTON,5696058
VEU,5684214
CNXS,5632233
MTTCF,5616864
PEMTF,5577176
OPTI,5512895
XLV,5470998
EARS,5461875
AREC,5435659
BFT,5428553
ASHR,5409327
USEI,5395487
HIL,5360592
STPK,5281447
UBMRF,5257517
KNEOF,5243350
KGC,5231520
NBRI,5212923
DNN,5192264
EMPW,5181947
SBFM,5176571
ISR,5135662
CYDY,5134487
CCIVU,5123604
BMRRY,5117080
RSPI,5108620
EFA,5094356
GDRZF,5028558
WPG,4947825
VBIV,4927419
ACTC,4927412
CFII,4923426
AGFAF,4910033
TLRY,4905616
MGM,4902058
IQST,4894928
LEAF,4887322
AG,4869722
ONTX,4853792
SURF,4829451
TTNP,4819537
CASU,4819307
VGACWS,4814055
TRNF,4809869
ABML,4808228
XL,4797762
VALE,4762230
BB,4759422
CLA,4753627
DFAU,4751594
HOTH,4732340
ZNGA,4732043
WATT,4690642
IEFA,4623454
VXX,4613189
GEVO,4593729
SIRI,4585096
MJ,4564895
VEON,4535114
PTICU,4534514
ITRM,4532885
PLPL,4527880
LFTRW,4510868
EZU,4509815
GEGI,4500810
SPCE,4479447
HLLPF,4473122
UMC,4456181
VLDR,4422018
CADMF,4409238
FCAU,4406075
TLOFF,4391764
AMPE,4382843
BEST,4378161
VNTH,4360512
BCE,4359536
RIG,4355655
BBJP,4344953
MUX,4330508
CWRK,4314599
AFPW,4291874
SVNLY,4270666
MMNFF,4270097
WGMCF,4240481
VPL,4237814
TGRR,4200000
QELL,4170158
DFAI,4152764
GNCIQ,4108213
MTLPR,4105871
AEZS,4062600
OPEN,4031546
SRNE,4027200
SNOW,4010950
ORAGF,4010457
TGODF,4008443
IPOD,4003936
USWS,4001811
CURI,3993248
EWU,3982337
INMD,3962463
AVAN,3941401
XPEV,3938569
CNP,3937014
SGAM,3932566
HZON,3932066
JNK,3930656
VGZ,3929942
OCGN,3899483
XLF,3882526
PQEFF,3877929
VEGGF,3875080
BTAQ,3855314
HSTRF,3854556
CPPRQ,3829460
ADAP,3828315
XLU,3800107
PAVE,3793499
ASAQ,3790732
XLK,3778842
FUNFF,3767722
VNUE,3759925
GHHC,3734846
JCPNQ,3727354
SJNK,3712999
HOFV,3646744
RDAR,3629111
DFAE,3628450
CFMS,3620660
NECA,3615891
KODK,3614723
XLP,3609454
GHSI,3597365
OTGLY,3574394
TPII,3558380
AGNPF,3547098
QQQJ,3529722
AAPL,3501178
GNR,3497030
SLV,3479590
MJNA,3462335
GTSIF,3442088
ARKG,3437627
HEMP,3435438
BNTX,3426033
UAVS,3418985
HA,3418308
FTSSF,3358348
SUNW,3356780
TBT,3354726
TELL,3351322
SDY,3344266
RWLK,3340574
EDOC,3337545
CBTC,3320863
SBE,3311465
SENS,3295019
SDOW,3282580
HUYA,3269769
BTWNW,3257719
BKLLF,3253199
SCHV,3246023
ICTV,3240116
AZZUF,3235006
BSRC,3228343
NNDM,3227678
POWW,3202108
ACIC,3199796
SPNV,3196071
ACWI,3191500
BTTR,3167432
WDR,3149507
VMSI,3136584
WISH,3134807
FNGD,3125687
PXH,3124331
BREZ,3122824
XPOA,3107326
HALB,3075685
ALPP,3068997
FMACU,3055363
VOIS,3053312
RDVY,3048797
AUMN,3042647
VREOF,3042553
NIO,3020687
GAHC,3011889
AZNVF,3011569
JSTC,3000851
SRTY,2994605
NBACW,2990888
WPRT,2990819
ADOM,2989527
BAR,2987167
SCHE,2980755
RECAF,2975896
FXI,2957604
SILJ,2955669
APHA,2954459
IMPX,2936224
GMMVF,2931444
XME,2915552
LRAXF,2911268
GHIV,2905813
UEXCF,2902325
XRT,2900079
SOL,2896871
IEA,2873660
GOGO,2872072
BFTWS,2870406
ENZC,2865888
CBLDQ,2862779
SIRC,2852001
NET,2850936
AABB,2840274
GOVT,2834062
NSPX,2833277
HDII,2825564
BLNK,2823951
LXRX,2816773
AAXJ,2811494
NVTA,2793119
MPLN,2780116
XLB,2761241
SFIX,2753860
TEF,2748984
ASAZY,2734103
HSTO,2732747
IPODWS,2730771
AMADY,2730576
GP,2723798
CLXPF,2722269
HPK,2721996
ESGV,2693926
RMO,2692687
BBBY,2691094
ATACWS,2686588
KYNC,2680930
STICWS,2674454
PHBI,2659027
TAN,2655496
LMRXF,2652899
DUST,2649314
GLOP,2648757
MBRX,2645877
LIZI,2641574
TBF,2637407
FTCH,2626867
ESGE,2626507
IBB,2624599
TSLA,2616318
FDCFF,2591744
BOXL,2573141
ETTX,2570363
SRUTF,2564688
AZN,2554876
XLI,2552836
BORR,2552440
BCRX,2543378
GDET,2539023
FUSE,2536248
ABBRF,2531043
SHIP,2522393
PROG,2521566
PKKFF,2507985
OGZPY,2483530
BNVIF,2479197
CVM,2474245
IPOC,2466817
VSPRW,2466298
EWH,2466126
TVACU,2464051
SKLZ,2463725
NMTR,2463249
SPXS,2461317
TPGYU,2460366
ACTCW,2459193
GSAT,2452795
SBVCF,2449085
IMNPQ,2448718
BONZ,2441839
NNOX,2425768
NOVN,2421006
MVIS,2417503
OXSQ,2414952
FTIV,2404480
CLOV,2401666
BLDP,2400892
GLDFF,2400583
MCHI,2399582
MTNB,2372927
MARK,2359248
CBBT,2357518
RBBN,2354487
PACE,2345652
PDAC,2338214
GLDM,2336771
CURLF,2335263
VB,2333865
GTAGF,2330325
XLE,2324433
HVCW,2323766
VFF,2321815
SXTC,2319385
FIVG,2310634
BPY,2308565
TOKIF,2306248
MTA,2306179
NSRCF,2296944
CNQ,2295241
DM,2293430
STPKWS,2285266
GSG,2284108
NPHC,2283537
FCUUF,2279307
BRFS,2259926
SDC,2247206
SEAH,2232600
ADMP,2231504
MCDMF,2230383
QTT,2229941
XSOE,2227817
CRON,2219919
DPLS,2217687
FTIVW,2216236
EXPR,2214208
PLG,2196352
JETS,2187309
SPMB,2186404
HRVSF,2185559
MP,2175013
GDSI,2165370
NGAWS,2164053
O,2163854
CAPAW,2156090
AVANWS,2153210
GRNH,2150678
AMLP,2150464
PLUG,2150038
DCRB,2149066
THTX,2143202
DDOG,2140040
CODX,2139941
MNXXF,2135922
ACICWS,2130413
SPCB,2125742
BHSEW,2124966
TWLO,2122167
AIKI,2112730
WALRF,2110220
CWEGF,2106117
FXN,2102919
KKPNY,2101678
JUSHF,2101378
EQMEF,2099918
BANT,2095920
NNOMF,2085286
VWO,2084935
HIGA,2084080
SMOFF,2073454
ZAGG,2070928
APSG,2061789
TAL,2059879
KOPN,2056720
FUTU,2050591
WKHS,2045211
ILF,2043439
MEDH,2041866
TNA,2038080
VGAC,2034458
BOAC,2029860
URG,2029559
NIKLF,2023663
DRIV,2016174
RWM,2012919
EXROF,2012767
TANH,2007909
CNK,2004287
SPLV,2001675
SMH,1999186
TWM,1995269
THBR,1993699
VSPRU,1993630
EWJ,1993500
SPWR,1988830
BTG,1987668
NAFS,1984513
ITB,1982171
GTCH,1981116
SOLO,1971947
ATRS,1969668
CRIS,1968854
TRIT,1968021
VIBI,1961952
FDD,1959748
CLVS,1959062
CCJ,1956992
BUG,1947398
VIPS,1947324
SESN,1946835
CLAWS,1943648
UAMY,1940610
FRSX,1939189
LVRLF,1936826
SPIB,1936090
HTZGQ,1934752
ADXS,1934119
REGRF,1932819
PFF,1929212
EWG,1928145
LBRDK,1913173
EYES,1910827
COCP,1898158
KJAN,1896392
SPXU,1896291
DPW,1892476
AAU,1885210
AKICU,1884585
IGPK,1881914
JWN,1880914
EBON,1877507
CNBS,1877440
MSOS,1875499
CXXIF,1874488
QD,1869609
NSPR,1868277
CERC,1866333
ARKQ,1865876
SCHZ,1861447
AJAXWS,1859669
ASRT,1857557
SABR,1850080
EH,1847860
KIE,1844117
TZA,1842772
IVR,1835916
UXIN,1831126
NVCN,1829478
CAN,1829420
GSX,1828934
FUSEWS,1828220
CTARF,1822940
DB,1820218
BKLN,1813514
GHVNF,1813429
AMWL,1812114
MDY,1811217
ETACW,1806874
EWA,1806590
VNQI,1804436
NDBKY,1799980
QDEC,1799676
CNET,1799140
TARSF,1794650
HIGAWS,1794018
FNDE,1787225
VT,1786137
BTAQW,1775186
FTCS,1774575
MKGI,1773955
CDEV,1772389
NCTY,1771740
PTE,1769160
AMPG,1766994
FCEL,1763941
TSCRF,1762621
LIT,1756507
NAK,1754714
EXK,1754426
MRO,1753927
PDACWS,1752326
RGLS,1749460
SBLRF,1748726
NRGD,1742556
EBC,1736037
VGK,1734867
ATVK,1733665
SCO,1733011
AMTX,1730105
SAN,1729071
RICE,1728140
BBD,1725526
GOVX,1719309
STMH,1713114
NH,1712077
DGRO,1708940
ASAQWS,1705334
AHT,1699234
WWR,1695565
RLAY,1691018
DRIP,1690564
VTAQU,1686976
DIGAF,1686942
SOS,1682347
CETY,1681486
BLRX,1679516
VET,1678682
PTBD,1675280
AIV,1674528
OPTT,1673249
QELLU,1671747
EEMA,1669260
JHMM,1668391
UUUU,1660581
FTXR,1660384
CMCSA,1655560
V,1655058
FVD,1654290
MCURF,1653341
RSX,1652293
VIH,1651581
DGLY,1644931
EWI,1639881
TPGYWS,1639367
BHP,1639021
KR,1636224
PCPL,1633526
GSIE,1633060
EOSE,1632846
ELYS,1630903
SDHY,1630896
AITX,1629528
CHMJF,1625978
VGMIF,1625933
KBWB,1623109
KWEB,1613566
FEM,1611486
UUP,1609431
XALL,1606460
YLCO,1600750
CLWD,1589872
PHYS,1589744
SPDW,1588196
MMIN,1583053
GOLD,1582371
USRM,1576059
INTC,1575443
LEVI,1570362
MESO,1568666
AUNFF,1567357
FMACWS,1566502
SILEF,1562869
FVRR,1557098
THCX,1553644
CCIVWS,1551427
AIA,1548687
SAII,1546464
AMRH,1539741
HITIF,1536801
BSSP,1534725
ADS,1532827
IGV,1524900
FPOCF,1524569
XLC,1524429
GDXJ,1523635
DXBRF,1522288
VEXTF,1522125
CHIQ,1514875
RVSDF,1512248
LITOF,1510155
GBS,1509477
IQ,1508874
ANLDF,1508537
FTOC,1507395
SEAHWS,1505387
IWSY,1504566
EIDO,1504118
THCBW,1500127
HMNY,1500009
HSBC,1498781
IFF,1498446
FSM,1496216
UL,1493469
RIOT,1491840
CCL,1490032
GLD,1488849
RMDFF,1486992
NULV,1485396
CMLF,1484045
XELA,1480926
PFE,1475236
INTV,1473256
FIDU,1471794
ACOR,1467478
TAT,1465478
SUSA,1463583
ABCFF,1461737
VTEB,1459837
BCDA,1459678
NGD,1458720
CFIIW,1458095
DXLG,1457313
FTRCQ,1455941
GRSO,1455756
VXUS,1454908
IZEA,1453834
IPDN,1451258
MOJO,1447415
APSGWS,1445812
SHRMF,1444820
FRO,1444376
EWP,1442194
USAS,1441839
CPWR,1441397
LGORF,1440500
SINA,1440312
CRSR,1436079
OPGN,1432897
GNCA,1426445
SLS,1413574
HZACU,1411509
AMAT,1411389
EGIEY,1411026
ALLIF,1405539
BND,1404554
SBIO,1404357
LKCO,1399556
NWPN,1398537
FHLC,1395834
DD,1394283
APXT,1394204
STWC,1393525
FMAC,1391790
VERU,1391101
VCBD,1387246
TMDI,1385363
VIGI,1380478
BNDX,1380456
WORX,1377803
GSEW,1375158
PDLI,1371787
IMAHF,1369758
GOEV,1369657
HVBTF,1367535
SPNVWS,1363940
HNDL,1355695
GCMG,1355542
CLLNY,1353372
ABQQ,1352965
DS,1351525
SCHC,1351009
LYFT,1350829
AUY,1350808
TMPMU,1349734
CTEK,1348558
JPM,1348435
KLR,1347543
CVE,1346920
DOYU,1345032
GDX,1340486
DFHT,1337780
NARI,1336999
LPCN,1336908
CRHC,1333701
LQD,1329157
PLUUF,1329004
TPYP,1326245
OUNZ,1325369
NUUU,1324759
DISCA,1321712
SOXS,1321161
PIAI,1320866
GSV,1317568
CERT,1316874
PEI,1314834
IMPXWS,1314554
NLOK,1308377
IDYA,1308293
PDEC,1304912
GBHL,1301671
TLLTF,1301607
VVCVF,1299809
BLOK,1297114
DMAN,1295869
BBRRF,1290672
FUSEU,1287523
BWACW,1284292
EUFN,1283328
ESGU,1278071
GTGEF,1277560
GLATF,1277273
PTOTF,1276868
MGNI,1275471
FGNAWS,1275026
ARKOW,1271673
MLLOF,1271391
SLVP,1266373
SPLB,1266073
IPSI,1264981
AACQ,1264955
PIPP,1264714
MKKGY,1264395
NTRR,1263615
BHAT,1260532
SU,1259697
CCHWF,1259354
BWX,1256755
TWCTU,1255112
AQMS,1250421
QEFA,1247168
BBBMF,1247067
IDEV,1245558
CPG,1243086
SWN,1242962
MSMGF,1242166
EFV,1240400
MASS,1240294
AI,1239651
FPXI,1237484
IXC,1233146
VIXY,1230336
MORT,1225389
EWT,1222533
POTX,1222079
HDGE,1220116
BGS,1217444
OZON,1214176
WTI,1212596
ANIX,1210768
SPHB,1210308
HMY,1208189
LFTR,1208099
FCPT,1208054
ORCC,1206744
NCLH,1204515
TEUM,1204269
PTNYF,1204188
ARBGU,1203208
PEIX,1201186
EMB,1199655
BLU,1197077
CIOXY,1193493
TWND,1190621
RVP,1188830
NOV,1185112
ENB,1184858
DNL,1181641
BGB,1178110
UEC,1175913
CHL,1172953
ITUB,1172410
TSRYY,1166494
KNDYF,1163642
GBLX,1161862
PBD,1161202
INUV,1160597
DDD,1158074
ISVLF,1157791
CGC,1153888
FENY,1153696
ENDV,1152443
RSNVF,1152260
DADA,1151472
AAN,1151084
IMAC,1148954
SCIE,1146810
SPEM,1146431
DMGGF,1145438
LABD,1144671
NEOS,1144320
DHY,1139206
VTIP,1139020
CBLEQ,1136911
SNSS,1135047
ALSMY,1133907
BIL,1133226
EMXC,1131563
ZTO,1128508
LAC,1128227
IPOCWS,1125175
CYCC,1124834
AJINY,1124673
IEZ,1124395
ASM,1124235
BAC,1123602
ETAC,1123270
NDRA,1121862
PCTL,1120686
PWLK,1119608
TMF,1118817
BORMF,1118201
FNMAS,1117693
FTEK,1115074
VYMI,1115074
D,1114171
MRDDF,1112413
AMJ,1111789
VCSH,1110872
RTPU,1110742
FMS,1106577
EQD,1106461
GEM,1105261
MRVL,1103815
LI,1103653
JPST,1102010
SIOCF,1101189
ARKF,1098008
MBIO,1096648
SELB,1096433
YALA,1094708
MGAFF,1094627
PLTM,1092324
SIL,1091646
AGG,1091028
MGA,1091028
IGC,1089559
OEG,1087860
DSI,1087118
PRTS,1087014
EDXC,1086147
MSTB,1086113
MRNA,1083584
TREB,1081784
GPL,1080601
TMRC,1080336
FUTL,1079884
RCI,1079709
SVRA,1079181
BRLL,1076203
WOFA,1074431
AQB,1071889
FLUX,1069944
XBIO,1069152
ESGD,1068484
PSACW,1064392
VNQ,1061964
VRM,1059918
CIIC,1058338
SPIP,1056040
AGI,1050878
VALPQ,1046573
BOACWS,1044296
PD,1043029
HIBS,1042240
TLT,1038526
FLV,1038519
AMIH,1035699
ARCT,1034600
VTWO,1033959
AYTU,1033915
AZRE,1032598
ORRCF,1029578
XPOAWS,1029250
HZONWS,1027903
OXY,1027780
NRZ,1027632
BUFR,1026614
VSGX,1025689
IRR,1024662
RPAR,1024213
HBEIF,1024076
QCLN,1022858
HDEF,1022566
CTAC,1022454
UVXY,1022011
IFV,1021655
EGMCF,1020715
FYC,1020059
OCX,1011442
FDIS,1010505
TCHC,1007649
IEUR,1006828
AYRWF,1004671
BXRX,1004460
VSQTF,1003274
REI,1002913
NOCSF,1002395
EHVVF,1001549
CHNC,1001467
LMNL,1000662
WARM,1000000
AVGR,999321
KBCSY,998375
ZNOG,996160
AMPY,995722
BATT,991485
EQOS,991084
RSSV,990645
OVID,990004
FTOCW,988802
DEH,988757
MGV,988698
NEXT,987525
DASH,986368
FUAPF,985632
MGROF,985016
FMCC,981100
BBKCF,979120
OGEN,979080
ICON,978707
GRSV,977604
WBAI,976483
ARKK,976468
CCX,976382
IVV,975514
VACQ,973386
RJA,970962
OTLK,970798
GLNCY,968195
SNPR,967752
CARG,967098
ACMR,964603
GSAH,964066
GIK,961736
OWRDF,961145
SRMX,960040
API,959494
YJ,957782
HLF,957594
FVRG,957226
DNK,957222
AZRX,956289
VCIT,955974
TETOF,955753
CAAS,954828
CZA,950645
DFMTF,949270
PHUN,947677
SAFRY,944804
SLYV,944111
FDEC,941879
URA,941604
AXU,941134
HEXOZZZZ,940727
CUBE,940185
FUV,939440
AWGI,938614
EWQ,937918
KXIN,936489
FPACU,935146
JKS,932614
PMPG,932324
FAII,931514
JNJ,930557
GMED,929424
PRPB,928833
SPTL,928409
NK,928246
ANGL,925850
SXNTF,924621
IXUS,922869
NSPDF,922244
DFLYF,921060
DGRW,918592
FFNTF,918082
AIRI,916171
IPOEU,915638
KMPH,912981
IMTFF,910698
OMER,910631
SUB,910489
ARKW,908882
TBLT,907951
ONCT,906256
TS,903662
TWNDWS,903615
OACB,901513
SIZE,901512
BTBT,901172
INSG,900756
NEPT,900750
TBPMF,898570
JPIB,898374
TIP,897352
TRVN,897324
LYSDY,894720
NEX,892369
UTSI,892257
GLAQU,892237
IFMK,891812
LHSIF,891065
PACDQ,890827
PAVM,889448
DRTT,888997
WTRH,887517
JG,887198
CXSE,887141
FLWS,886678
NBY,886400
PIZ,884135
PSTG,882118
SLGWF,879552
ACIA,879174
MBT,878188
SFY,877247
SINGY,877030
UEPS,874868
MVMDF,873850
VTRS,873240
FNK,873155
AESE,872042
RGGI,868710
KNRLF,868530
DARE,868398
LKNCY,866793
VMBS,866638
MCFE,866320
YSG,866236
TRVG,866029
RSCF,864512
CLOVW,864108
FREL,862083
AMRS,861608
VERB,861576
FNDF,860386
ING,858560
HBAN,858220
PECK,857802
JBLU,856884
EWS,856363
BILZF,856343
FEMB,856009
PZOO,854319
CLOU,853412
DBCCF,852654
BEGI,851060
GHIVW,850395
ULTHF,849585
CVAC,849508
IGACW,849453
GEBHY,848811
RIBT,846027
KDP,842879
CTEC,840996
HBI,839821
GTBIF,839142
USWSW,838879
TUIFY,838664
HYAC,838021
MIK,837687
TSOI,836645
KMTUY,835041
UBER,835031
JADA,834468
SGSVF,834465
AMCR,833834
SCNNF,833502
DSTX,830977
IPOB,829937
FMCKJ,829825
JPHY,829642
LABU,829614
BYND,829021
BKUCF,828443
MT,827507
NURO,827072
MDYG,826837
MWK,826147
MRZLF,823607
KPTI,821646
TCFF,821228
CCWOF,820725
IQLT,820085
SCZ,819400
STPKU,818313
NTEC,817325
WTER,817189
CONXW,816888
THD,815767
BHSE,814039
BGGSQ,813914
TTCF,813117
SPMD,812572
HTBX,811189
BANCPRE,811135
TLMD,810789
GENE,809621
DMYD,809057
EQDWS,808238
SHRG,805480
SPAB,804578
MCET,804527
NUSC,804257
PPSI,804002
BMYRT,803970
FINX,803811
NSH,803166
HMHC,802845
IDV,802812
FBCV,802646
SUMO,802380
GOAC,801656
NCNO,801547
BIZD,801522
QPTFF,801013
MBB,800368
BWZ,800040
INVU,799880
JFU,799745
TOUR,798854
GACR,798610
FUNN,798170
BUSXF,797716
RADA,797602
ERES,796837
TGB,796482
AIQUY,795905
PLIN,794495
EBR,794101
PACB,793362
FFMGF,792249
NORZF,791207
CLIIWS,790859
USXF,789809
XSPA,789089
ABB,788069
GBOOY,787982
ZYNE,787188
FEAC,785293
INAQ,784599
PBW,784393
IAG,784335
EMQQ,783030
SQIDF,782572
DSTL,781395
JMIA,780710
URAGF,780556
PEIPRC,780404
GE,779668
FNOV,779395
ERF,779183
RPRX,776786
ANCN,776585
RCL,775906
RF,775763
MJTV,774270
VTVT,774235
CTXR,773851
PS,773814
NBAWS,772330
TECS,769503
TBJL,769193
RADI,769107
FLGB,765478
RIO,763834
POAHY,763340
BOIL,762087
LNSTY,762055
ZNTEW,761517
BBI,761502
CONX,760312
JSHLY,759537
IWD,759314
CHWY,759245
KOS,758814
ZM,756837
DBVT,754975
LUXA,754499
SNCA,754167
KALA,751719
DNMR,751181
NMMC,750988
TECK,750390
GOEVW,749485
USRT,748992
INAQW,748957
CNYA,748855
PEJ,746744
DOG,746597
BNO,746076
FAZ,745986
RRIF,745686
LCY,743620
CETX,743487
PSLV,742470
ENG,742425
ICAGY,741988
DIS,741438
VHAQU,740910
BBCA,740008
TKAT,738206
IWP,738091
OHI,737074
XHB,736628
FGNA,735415
FDVV,735234
QID,734619
FIII,732648
SMRTQ,731150
BBAR,729811
PLYN,729183
SHYG,729159
NEE,728869
NTTYY,728649
GCTAY,728421
DCAC,728095
RDGL,727678
EMLC,726880
Z,726720
IRNC,725613
EMRRF,725214
LMNGF,724786
PHAR,724572
CECBF,724484
TU,724146
EWC,723318
FNF,722127
FXR,719555
AMD,719373
OPK,718310
SEEL,717479
BCS,716811
NVCR,715687
RSP,714831
SNOA,713643
VONV,712535
KAYS,711458
DBB,710783
IJR,707592
QELLW,706690
DAVA,706385
NXXGF,705879
MAXN,705287
LLEXQ,704930
CHKP,704610
SCHA,704056
WOGI,703545
VSTM,702387
RBII,702278
INFN,699518
MCF,698897
VTGN,698336
T,697850
ATMP,696958
BDEC,696819
GFL,696389
CVVUF,695412
RESI,694658
RTP,693326
PIE,692731
POEFF,692684
PBRA,691199
CSPUF,690000
CIBR,689600
EVLO,689119
DIAL,687050
QLGN,686501
EMAN,685912
AQARF,685906
FLURF,685093
FAMI,684400
MUFG,684222
UNG,683772
LEAP,683599
PTN,683486
IBN,683223
LQDA,681517
EWY,681262
DDEC,681101
X,681048
FNCL,680949
METX,680697
GNOG,680556
GDXU,680523
HHSE,680252
BBVA,680190
SPLG,679806
PZG,679164
GHVIU,679137
CLIS,678834
BDRFY,677154
SLVO,676634
MLYF,676428
YANG,675569
OACBU,674476
EVRI,674190
FLXT,673073
CHU,672291
KSA,671773
SRKZF,671513
CRHCWS,671078
PGNY,669181
BMWLF,668579
SDS,668374
PANA,668141
BSBR,668028
DIA,666936
JHML,666551
MFC,665715
FAN,665562
CRGP,664744
LMRMF,663595
SBEV,662174
LPTX,661049
ZPHYF,659758
BOWXW,658993
DWX,658568
EC,658522
STLHF,658142
DRNG,656127
DTEA,655617
KOLD,655604
GRWG,654997
IMUN,652713
GRST,652329
LU,651410
LSI,651151
CTSO,650523
WMT,649606
OVV,649008
TRSI,648080
CLF,647409
FSRV,646857
HPQ,646829
AIHS,646783
ABUS,645608
CTLE,645086
HTOO,644769
PREF,644655
EYEG,643889
CGOL,643804
BSV,643555
PSAC,643115
UAA,641374
DLOC,638025
BYZN,636614
SBES,636510
SLRX,635431
CYIO,635369
UZB,634480
IKT,633206
LSST,632607
GOL,630685
LTUM,630578
MMEX,629720
PNNX,629567
ALACW,628933
ERX,628233
SCHP,628198
TTOO,627803
SCHYY,627317
IGAC,626988
ESML,626843
PHB,625756
DMWS,625753
IDX,625577
VLMGF,625566
BBUS,625064
FROG,624555
NPDCF,623902
SBEWS,623063
OGIG,622825
JIH,622528
FDVXF,622525
DMYI,621785
FSLY,621473
AACQW,621413
BCI,621195
BILI,620777
SLM,620450
ATADF,620318
CNPOF,620130
CODYY,620071
ANXGF,619812
GLSI,619676
EDZ,618656
KSS,618007
CNRG,617575
ENIA,616985
ESGC,616687
TAIL,616007
FYT,615486
VTR,613554
BEKE,613451
FBCG,613252
ACCD,613034
TCON,612509
JWS,611956
ELUXY,611637
VLO,611455
POLA,610469
VIHAW,610347
PAGP,610193
GOOS,609590
DDDX,607576
LIVX,606523
HPR,606042
WFC,605657
AUPH,605627
IMTM,605620
SSO,605376
MOAT,604780
CNGT,604565
ESRT,604427
C,604347
EPHYU,603395
MTC,603025
KARS,602779
MMM,602290
PRPO,602130
CLII,599490
BEP,599465
NXGWF,599263
KSMT,598985
LESL,598100
MJLB,598068
ELTP,597569
CYTH,596910
ZSAN,596644
WORK,595940
AGGFF,595867
EQX,595833
REED,593928
SHMP,593310
SRAC,593054
FLOOF,592941
DNKLY,591431
RXMD,591287
HCAC,591161
BIGC,590172
LYG,589665
PRNT,589607
JOET,589506
ITHUF,589432
PFFD,589074
MOON,588855
SGOL,588692
LNC,587519
EWUS,586918
FRHC,585210
CDC,584673
DTII,584663
OIBRQ,584059
ADTX,583302
DNHBY,582132
APSGU,581332
OPENW,581140
DIVO,580378
SNDD,579678
RORO,579490
DBI,579169
FTXO,578872
ROVMF,577577
DMYDU,577268
VYM,577090
AMX,576227
RGDFF,576059
SAVA,575759
CRSM,575289
PAWZ,574955
GLDG,574822
PSTV,574319
NSHWS,573975
AAZZF,573632
ITOT,573323
THCA,572922
NBEV,572142
DRSK,572122
XMVM,571747
SONO,571664
NWSA,571200
